,Nombre,Email,Promoción,Fecha_comienzo,Campus,Proyecto,Calificación
35,Cleto Montes,Cleto_Montes@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_Backend,No Apto
36,Marino Castilla,Marino_Castilla@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_Backend,Apto
37,Estefanía Valcárcel,Estefanía_Valcárcel@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_Backend,No Apto
38,Noemí Vilanova,Noemí_Vilanova@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_Backend,No Apto
39,Teresa Laguna,Teresa_Laguna@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_React,Apto
40,Estrella Murillo,Estrella_Murillo@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_React,Apto
41,Ernesto Uriarte,Ernesto_Uriarte@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_React,Apto
42,Daniela Guitart,Daniela_Guitart@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_React,Apto
43,Timoteo Trillo,Timoteo_Trillo@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_React,Apto
44,Ricarda Tovar,Ricarda_Tovar@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_React,Apto
45,Alejandra Vilaplana,Alejandra_Vilaplana@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_React,Apto
46,Daniel Rosselló,Daniel_Rosselló@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_React,No Apto
47,Rita Olivares,Rita_Olivares@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_React,Apto
48,Cleto Montes,Cleto_Montes@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_React,Apto
49,Marino Castilla,Marino_Castilla@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_React,No Apto
50,Estefanía Valcárcel,Estefanía_Valcárcel@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_React,No Apto
51,Noemí Vilanova,Noemí_Vilanova@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_React,Apto
52,Teresa Laguna,Teresa_Laguna@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_FullSatck,Apto
53,Estrella Murillo,Estrella_Murillo@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_FullSatck,Apto
54,Ernesto Uriarte,Ernesto_Uriarte@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_FullSatck,Apto
55,Daniela Guitart,Daniela_Guitart@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_FullSatck,Apto
56,Timoteo Trillo,Timoteo_Trillo@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_FullSatck,No Apto
57,Ricarda Tovar,Ricarda_Tovar@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_FullSatck,Apto
58,Alejandra Vilaplana,Alejandra_Vilaplana@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_FullSatck,Apto
59,Daniel Rosselló,Daniel_Rosselló@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_FullSatck,No Apto
60,Rita Olivares,Rita_Olivares@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_FullSatck,Apto
61,Cleto Montes,Cleto_Montes@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_FullSatck,Apto
62,Marino Castilla,Marino_Castilla@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_FullSatck,No Apto
63,Estefanía Valcárcel,Estefanía_Valcárcel@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_FullSatck,Apto
64,Noemí Vilanova,Noemí_Vilanova@gmail.com,Febrero,12/02/2024,Valencia,Proyecto_FullSatck,Apto
